avenida,3,1,0,2,3,7,10,6
aventura,16,2,0,1,2,0,0,16
aventurar,2,2,1,0,0,0,3,1
aventuras,5,2,0,0,0,1,1,8
avesso,10,2,0,1,0,8,4,3
avexe,4,2,0,1,1,3,1,1
avisa,13,11,3,2,1,1,2,6
avisando,1,3,0,1,4,1,0,0
avisar,15,7,0,2,6,3,5,15
avisei,17,15,0,1,0,4,1,6
aviso,3,3,0,1,0,2,3,3
avisou,4,3,1,0,0,3,3,7
avistei,2,1,1,1,1,4,3,4
avião,36,15,0,10,12,9,11,12
azar,1,2,1,9,2,5,3,6
azuis,2,0,0,1,1,6,1,2
azul,52,12,0,5,10,19,19,37
azulão,0,0,0,3,1,4,0,1
aç,2,1,1,3,2,5,3,3
aça,1,1,0,3,2,1,0,1
aço,6,4,1,5,2,4,5,5
açoite,4,2,0,0,1,0,6,2
açucena,5,0,0,5,5,0,1,5
açude,4,0,0,3,1,9,9,8
ação,3,3,0,2,2,2,2,0
aê,5,2,1,1,0,0,2,3
baby,54,10,0,0,0,3,0,41
bacamarte,2,0,0,3,2,2,1,1
bacana,8,2,0,2,7,3,5,5
bacia,2,1,0,2,2,1,2,4
bacurau,1,0,0,3,3,3,5,1
bagaceira,9,5,0,0,1,0,3,4
bagagem,2,0,0,0,2,1,2,3
bagaço,2,0,0,1,3,1,1,2
bagunça,2,1,0,0,2,0,2,2
bagunçar,3,4,0,0,2,0,1,1
bagunçou,6,0,0,0,1,1,0,1
bahia,13,3,0,14,32,23,15,16
baiana,2,3,0,5,10,4,2,2
baiano,3,1,0,2,11,3,2,5
bailando,2,1,0,0,0,1,5,3
bailar,4,0,0,1,0,5,9,2
baile,9,7,0,11,7,9,6,18
bailão,5,2,0,0,0,0,1,1
bairro,3,1,0,1,4,2,4,2
baita,1,2,0,1,1,0,0,4
baixa,5,2,0,6,7,3,3,4
baixar,5,1,0,3,0,1,1,1
baixaria,2,1,0,0,1,1,3,1
baixinho,13,4,1,2,5,4,5,11
baixos,7,0,0,5,7,6,2,4
baião,38,7,0,63,47,28,29,29
bala,7,1,0,3,1,4,2,10
balada,31,44,1,0,0,0,0,13
balaio,0,1,0,7,1,2,1,3
balance,2,1,0,1,3,5,2,2
balancê,1,0,0,3,1,2,1,2
balança,26,5,1,16,14,15,17,18
balançado,0,0,0,2,2,4,1,0
balançando,11,4,0,6,6,11,7,9
balançar,38,7,2,11,22,19,21,19
balanço,30,7,0,16,19,23,26,27
balançou,3,0,0,3,1,4,0,4
balcão,3,1,1,1,1,2,1,4
balão,8,1,0,13,26,21,12,23
bamba,4,1,1,4,5,2,1,1
